time,open,high,low,close,volume,return_1d,ma_5,ma_20,ma_50,volume_ma_20
2024-06-13,20.51,20.8,20.39,20.72,11727801,0.010238907849829282,20.47,20.3515,19.6748,11399045.7
2024-06-14,20.64,20.8,20.55,20.55,11049165,-0.00820463320463316,20.47,20.3875,19.686400000000003,11526010.75
2024-06-17,20.55,20.55,20.26,20.51,6375848,-0.001946472019464629,20.494,20.4215,19.698,11377805.55
2024-06-18,20.64,20.64,20.39,20.51,5729760,0.0,20.560000000000002,20.457500000000003,19.7152,11122850.85
2024-06-19,20.51,20.64,20.26,20.6,7618993,0.004388103364212581,20.578,20.506500000000003,19.7404,11039383.6
2024-06-20,20.51,20.76,20.39,20.72,10178313,0.005825242718446422,20.578,20.544,19.7738,11025585.65
2024-06-21,20.76,20.76,20.47,20.51,5126289,-0.010135135135134976,20.57,20.543,19.803,9588544.5
2024-06-24,20.55,20.55,19.97,20.14,14225312,-0.018039980497318475,20.496000000000002,20.5165,19.8226,9922717.2
2024-06-25,20.05,20.22,19.97,20.09,6708386,-0.0024826216484608032,20.412,20.4805,19.843999999999998,9723427.7
2024-06-26,20.05,20.14,19.72,20.14,10145262,0.002488800398208202,20.32,20.461,19.8658,9557875.3
2024-06-27,20.05,20.14,19.88,20.01,4904878,-0.006454816285997977,20.178000000000004,20.43,19.873,9147200.0
2024-06-28,19.88,20.05,19.84,19.88,5755042,-0.006496751624188057,20.052,20.394,19.893800000000002,8877987.65
2024-07-01,19.88,19.93,19.72,19.88,3938961,0.0,20.0,20.351999999999997,19.9104,8262073.8
2024-07-02,19.88,20.14,19.8,20.09,5701649,0.010563380281690238,20.0,20.333000000000002,19.936799999999998,8060378.25
2024-07-03,20.18,20.39,20.01,20.26,5854818,0.008461921353907442,20.024,20.329,19.968600000000002,7813020.1
2024-07-04,20.3,20.34,20.01,20.18,6394551,-0.003948667324777944,20.058,20.321,19.996,7731085.65
2024-07-05,20.18,20.3,20.05,20.3,6357111,0.005946481665014991,20.142,20.308500000000002,20.028,7754312.7
2024-07-08,20.3,20.34,20.14,20.26,4959392,-0.0019704433497536034,20.218,20.302,20.053600000000003,7618288.2
2024-07-09,20.18,20.39,20.09,20.3,8004908,0.001974333662388972,20.259999999999998,20.308,20.0834,7557869.6
2024-07-10,20.47,20.47,20.26,20.26,6484698,-0.0019704433497536034,20.259999999999998,20.2955,20.111800000000002,7362056.85
2024-07-11,20.34,20.34,20.18,20.18,5001133,-0.003948667324777944,20.26,20.2685,20.1364,7025723.45
2024-07-12,20.14,20.18,19.88,20.05,7160694,-0.006442021803766074,20.21,20.2435,20.151400000000002,6831299.9
2024-07-15,20.05,20.09,19.97,20.01,4490958,-0.001995012468827939,20.160000000000004,20.2185,20.1642,6737055.4
2024-07-16,20.05,20.3,20.01,20.14,7002765,0.006496751624187835,20.128000000000004,20.2,20.178800000000003,6800705.65
2024-07-17,20.3,21.05,20.22,20.47,28924392,0.01638530287984108,20.169999999999998,20.1935,20.2014,7865975.6
2024-07-18,20.47,20.97,20.47,20.72,10670220,0.012212994626282336,20.278,20.1935,20.2284,7890570.95
2024-07-19,20.72,21.14,20.6,20.97,17087130,0.012065637065637125,20.462,20.216500000000003,20.259,8488613.0
2024-07-22,20.97,21.05,20.6,20.68,15163392,-0.013829279923700533,20.596,20.2435,20.2838,8535517.0
2024-07-23,20.72,20.8,20.05,20.05,15116634,-0.03046421663442933,20.578,20.2415,20.2952,8955929.4
2024-07-24,20.05,20.39,19.88,20.22,12261810,0.008478802992518686,20.528,20.2455,20.3108,9061756.8
2024-07-25,20.18,20.18,19.88,20.09,7164193,-0.00642927794263104,20.401999999999997,20.2495,20.316000000000003,9174722.55
2024-07-26,20.14,20.18,20.05,20.14,3453662,0.002488800398208202,20.235999999999997,20.2625,20.3222,9059653.55
2024-07-29,20.3,20.3,20.09,20.18,4109383,0.0019860973187686426,20.136000000000003,20.2775,20.3292,9068174.65
2024-07-30,20.05,20.18,20.01,20.18,5494866,0.0,20.162,20.282,20.337,9057835.5
2024-07-31,20.22,20.51,20.14,20.51,8556266,0.016352824578790948,20.220000000000002,20.2945,20.3548,9192907.9
2024-08-01,20.47,20.55,20.01,20.01,9183311,-0.024378352023403216,20.204,20.286,20.355600000000003,9332345.9
2024-08-02,19.97,20.05,19.76,20.01,13718492,0.0,20.178,20.2715,20.3452,9700414.95
2024-08-05,19.72,19.93,19.34,19.38,20100624,-0.03148425787106457,20.018,20.2275,20.3194,10457476.55
2024-08-06,19.63,19.76,19.43,19.63,8029731,0.012899896800825594,19.908,20.194,20.2958,10458717.7
2024-08-07,19.72,19.72,19.47,19.55,4407675,-0.004075394803871535,19.716,20.1585,20.2762,10354866.55
2024-08-08,19.43,19.63,19.43,19.43,3655058,-0.006138107416879812,19.6,20.121000000000002,20.252200000000002,10287562.8
2024-08-09,19.55,19.72,19.47,19.72,3012436,0.014925373134328401,19.542,20.104499999999998,20.2346,10080149.9
2024-08-12,19.72,19.88,19.47,19.88,4203077,0.008113590263691739,19.642000000000003,20.098,20.2178,10065755.85
2024-08-13,19.68,19.88,19.63,19.72,2854856,-0.008048289738430636,19.66,20.077,20.2028,9858360.4
2024-08-14,19.8,19.88,19.68,19.68,3321023,-0.0020283975659228792,19.686,20.0375,20.1896,8578191.95
2024-08-15,19.68,19.72,19.59,19.63,2660430,-0.002540650406504086,19.726,19.983,20.1754,8177702.45
2024-08-16,19.63,20.05,19.63,20.05,6524010,0.02139582272032614,19.792,19.936999999999998,20.165399999999998,7649546.45
2024-08-19,20.05,20.18,20.01,20.09,3843540,0.001995012468827939,19.833999999999996,19.9075,20.1594,7083553.85
2024-08-20,20.09,20.3,20.05,20.14,5422431,0.002488800398208202,19.918,19.912,20.1586,6598843.7
2024-08-21,20.09,20.39,20.09,20.39,6563393,0.012413108242303794,20.060000000000002,19.920499999999997,20.1562,6313922.85
2024-08-22,20.47,20.51,20.3,20.39,6795952,0.0,20.212,19.9355,20.1496,6295510.8
2024-08-23,20.39,20.47,20.26,20.43,3899558,0.0019617459538989745,20.288,19.95,20.1472,6317805.6
2024-08-26,20.51,20.51,20.39,20.43,4928433,0.0,20.356,19.9625,20.145599999999998,6358758.1
2024-08-27,20.43,20.47,20.39,20.43,4159515,0.0,20.414,19.975,20.144000000000002,6291990.55
2024-08-28,20.47,20.51,20.39,20.47,5228038,0.0019579050416054233,20.43,19.973000000000003,20.141399999999997,6125579.15
2024-08-29,20.51,20.8,20.51,20.6,8594985,0.006350757205666913,20.471999999999998,20.002499999999998,20.139,6096162.85
2024-08-30,20.6,20.72,20.6,20.72,4489249,0.005825242718446422,20.53,20.038,20.1432,5634700.7
2024-09-04,20.47,20.64,20.43,20.6,5639763,-0.005791505791505669,20.564,20.099,20.1524,4911657.65
2024-09-05,20.6,20.64,20.43,20.47,3540918,-0.00631067961165066,20.572,20.141,20.16,4687217.0
2024-09-06,20.47,20.55,20.43,20.55,5008937,0.0039081582804103565,20.588,20.191,20.1682,4717280.1
2024-09-09,20.51,20.55,20.3,20.43,4691162,-0.00583941605839422,20.554000000000002,20.241,20.176599999999997,4769085.3
2024-09-10,20.43,20.51,20.14,20.26,6138609,-0.008321096426823216,20.462,20.268,20.184199999999997,4925393.95
2024-09-11,20.18,20.26,20.14,20.18,3589050,-0.003948667324777944,20.378,20.283,20.1902,4894692.6
2024-09-12,20.26,20.47,20.22,20.43,2621199,0.012388503468780954,20.369999999999997,20.3185,20.197,4883009.75
2024-09-13,20.39,20.43,20.26,20.39,2374108,-0.0019579050416054233,20.338,20.354,20.199599999999997,4835664.0
2024-09-16,20.39,20.51,20.18,20.18,3717063,-0.010299166257969672,20.288,20.3815,20.1996,4888495.65
2024-09-17,20.18,20.47,20.14,20.47,4081633,0.01437066402378595,20.330000000000002,20.4025,20.203000000000003,4766376.8
2024-09-18,20.47,20.68,20.34,20.6,8725286,0.006350757205666913,20.413999999999998,20.428,20.2098,5010464.1
2024-09-19,20.68,20.76,20.55,20.72,5224618,0.005825242718446422,20.471999999999998,20.457,20.2182,5000573.45
2024-09-20,20.8,21.56,20.8,21.43,34336295,0.03426640926640934,20.68,20.509,20.241600000000002,6389218.55
2024-09-23,21.47,21.72,21.39,21.43,8585132,0.0,20.93,20.561,20.2666,6478677.55
2024-09-24,21.43,21.56,21.22,21.56,12786286,0.006066262249183385,21.148,20.6175,20.2968,6923013.95
2024-09-25,21.72,21.89,21.56,21.89,23028936,0.015306122448979664,21.406,20.6905,20.334400000000002,7828039.1
2024-09-26,21.97,22.02,21.72,21.72,18186603,-0.007766103243490252,21.606,20.755000000000003,20.366,8529393.5
2024-09-27,21.72,22.06,21.64,21.64,10816416,-0.0036832412523019054,21.648,20.813499999999998,20.389400000000002,8808812.4
2024-09-30,21.47,21.68,21.47,21.51,8463727,-0.006007393715341869,21.664,20.859,20.4052,8802249.5
2024-10-01,21.51,21.85,21.51,21.51,10417047,0.0,21.654000000000003,20.8985,20.416,9098639.4
2024-10-02,21.47,21.81,21.39,21.56,10118989,0.0023245002324499,21.588,20.9465,20.4336,9322600.7
2024-10-03,21.68,21.97,21.47,21.47,14808112,-0.004174397031539878,21.538,20.9965,20.462,9885960.4
2024-10-04,21.47,21.51,21.22,21.22,8670214,-0.011644154634373516,21.454,21.029999999999998,20.482,10069024.25
2024-10-07,21.31,21.47,21.18,21.26,6775964,0.0018850141376061114,21.404,21.0715,20.505399999999998,10173264.35
2024-10-08,21.31,21.43,21.18,21.31,6528035,0.002351834430855959,21.363999999999997,21.124000000000002,20.5288,10192735.65
2024-10-09,21.39,21.93,21.35,21.93,20014266,0.029094321914594046,21.438,21.211499999999997,20.5638,11013996.45
2024-10-10,22.06,22.14,21.76,21.89,9087762,-0.0018239854081166795,21.522,21.2845,20.598,11337324.6
2024-10-11,21.81,21.85,21.64,21.81,6565661,-0.003654636820466073,21.639999999999997,21.3555,20.624000000000002,11546902.25
2024-10-14,21.85,21.93,21.68,21.68,9033561,-0.0059605685465382585,21.724,21.4305,20.6574,11812727.15
2024-10-15,21.68,21.89,21.56,21.6,7115715,-0.0036900369003689537,21.782,21.487000000000002,20.6892,11964431.25
2024-10-16,21.51,21.6,21.39,21.51,5401467,-0.004166666666666652,21.698,21.5325,20.7318,11798240.3
2024-10-17,21.64,21.85,21.51,21.85,9200056,0.015806601580660162,21.689999999999998,21.589000000000002,20.7762,11997012.2
2024-10-18,21.93,22.14,21.68,21.81,11497656,-0.0018306636155607237,21.69,21.608,20.821399999999997,10855080.25
2024-10-21,21.72,21.81,21.56,21.56,5537752,-0.011462631820265967,21.666,21.6145,20.864,10702711.25
2024-10-22,21.56,21.6,21.22,21.22,12123912,-0.01576994434137291,21.59,21.5975,20.894000000000002,10669592.55
